date,company,role,status,resume_file,cover_letter_file,notes
2/2/2026,Danaher,Senior Director of Artificial Intelligence & Data Infrastructure,draft,Matt Oremland_Danaher_Senior Director of Artificial Intelligence  Data Infrastructure_resume.docx,yes,"Reports to VP, AI Platform within Chief Technology and AI Office (CTAIO). Fully remote role. Focus on enterprise-wide AI platform strategy and execution, leading team of cloud/ML/AI/data architects and engineers. Requires 10+ years software dev with data engineering/AI/ML focus PLUS 5+ years leadership in AI platforms. Major gaps: software architecture/engineering background (I'm data scientist not software architect), no 5+ years dedicated AI platform leadership, no enterprise self-service platform building experience. Strengths: PhD, life sciences domain, some cloud platforms, team leadership, regulatory compliance. This is a significant reach - role is more software engineering/architecture than data science leadership."
2/2/2026,Insulet,Director of Data and Biostatistics,draft,Matt Oremland_Insulet_Director of Data and Biostatistics_resume.docx,yes,"Clinical Affairs role focused on medical device data management and biostatistics. Strong emphasis on regulatory compliance, database design, and team leadership. Need to highlight data governance, statistical analysis, and cross-functional collaboration experience."
2/2/2026,Natera,Director of Data & AI Governance,draft,Matt Oremland_Natera_Director of Data  AI Governance_resume.docx,yes,"Enterprise-wide data and AI governance role overseeing Data Governance Council, stewardship model, and technical governance implementation. Requires 15+ years in data/AI governance with 7+ in leadership. STRETCH: I don't have 15 years focused on governance specifically. Strengths: data governance frameworks (Gilead, Redica), AI governance (LLM classifier validation), regulatory compliance (FDA, 21 CFR Part 11, GxP), technical implementation. Healthcare regulatory frameworks (HIPAA, CLIA, FDA AI guidance) are relevant but I lack deep healthcare-specific governance experience. Technical governance (embed controls in code, pipelines) aligns well with my hands-on work."
2/2/2026,Veeva Systems,Senior Director of Engineering and Data Operations,draft,Matt Oremland_Veeva Systems_Senior Director of Engineering and Data Operations_resume.docx,yes,"OpenData team role - leading both engineering and data operations teams. Focus on building data & software products for healthcare reference data (HCP/HCO profiles). Remote/work anywhere role. CRITICAL MATCH: At Gilead, primary dataset was HCP/HCO profiles - built dashboards tracking HCP/HCO interactions, affiliations, engagements, led team of ~5 managing HCP/HCO data operations. This is direct healthcare reference data experience with same entity types. Remaining gaps: no 5+ years leading engineering teams specifically (led data science/analytics teams), moderate software engineering architecture background. Strengths now much stronger with HCP/HCO experience."
2026-02-02,Bridgeview,Director of Data & Analytics,draft,Matt Oremland_Bridgeview_Director of Data  Analytics_resume.docx,yes,"Enterprise data and analytics leadership role building capability from strategy through execution. Requires 10+ years technical/business experience in data/analytics, 5+ years leadership, extensive experience in general business/revenue cycle/organizational operations. Remote eligible. GOOD MATCH with manageable stretches: I meet 10+ years data/analytics, 5 years leadership (actually ~4-5), data strategy/governance, AI strategy, analytics platforms, healthcare domain. Stretch: revenue cycle and organizational operations experience (I have pharma manufacturing operations, not healthcare revenue cycle). This is about building enterprise analytics capability which I've done. Healthcare services (appears to be clinical/behavioral health) vs pharma manufacturing - different but analytics fundamentals transfer. Role is at my director level, not executive."
2026-02-02,McKesson,"Director, Data Governance",draft,Matt Oremland_McKesson_Director Data Governance_resume.docx,yes,"PSaS (Pharmaceutical Solutions and Services) data governance leadership role. Requires 12+ years professional experience, 4+ management, and 8+ years in data governance/management. MODERATE STRETCH: My governance work is embedded in broader data science/analytics leadership roles rather than 8+ years dedicated governance. Strengths: governance frameworks built at Gilead/Redica/Takeda, healthcare data (HIPAA), regulated environment (FDA, GxP), cross-functional collaboration. Gaps: not 8+ years focused governance roles, no Alation or governance platform tools, pharma manufacturing vs pharmaceutical distribution domain, limited AI agent governance experience. Healthcare distribution is different from my pharma manufacturing background but governance principles transfer."
2026-02-02,Salesforce,"Sr. Director, Enterprise Data Governance",draft,Matt Oremland_Salesforce_Sr Director Enterprise Data Governance_resume.docx,yes,"Enterprise data governance leadership role. Requires 12+ years in data governance/management with experience leading large cross-functional programs. Accountable for policies, standards, operating models, Data Mesh enablement, and compliance (SOX, privacy, audit). Salary: $191k-$321k, Remote. MODERATE STRETCH: My governance work is embedded in broader data science/analytics roles rather than 12+ years dedicated governance leadership. Strengths: governance frameworks built at Gilead/Redica/Takeda, regulatory compliance (FDA, GxP, HIPAA), policy development, executive stakeholder management. Gaps: not dedicated governance roles for 12+ years, limited Data Mesh experience, no governance-as-code hands-on, no SOX/audit compliance specifically, tech company vs pharma domain. However, governance fundamentals transfer and I have AI governance experience relevant to their Agentic Enterprise capabilities."
2026-02-02,SmarterDx,Director of Data Science,draft,Matt Oremland_SmarterDx_Director of Data Science_resume.docx,yes,"Clinical AI platform for hospital revenue optimization. Requires 10+ years data science/ML with significant people leadership, experience owning outcomes across multiple teams, NLP and healthcare data expertise, and executive stakeholder influence. Salary: $260k-$280k, Remote. MODERATE STRETCH: I meet 10+ years data science/ML, healthcare domain, production ML systems, and tech stack (Python, SQL, PyTorch, SageMaker, Snowflake). Gaps: people leadership scope (managed 3-7 vs multiple teams), limited NLP depth (one LLM project vs deep NLP expertise), pharma manufacturing vs clinical healthcare/hospital operations domain, no clinical workflows experience. Strengths: production ML deployment, healthcare data governance, regulatory compliance mindset, stakeholder management. This is healthcare but clinical/hospital setting vs my pharma R&D/manufacturing background."
2026-02-03,Point,Head of Data,draft,Matt Oremland_Point_Head of Data_resume.docx,yes,"Fintech/proptech company - emphasize modern data stack (Snowflake, Sigma), hands-on leadership, business impact. Good fit for technical leader who can scale data function."
2026-02-04,Eli Lilly,Senior Risk Analytics Leader,draft,Matt Oremland_Eli Lilly_Senior Risk Analytics Leader_resume.docx,yes,"IRM Insights Hub, technical IC role, existing client relationship through Redica"
2026-02-04,Quest Diagnostics,Senior Director of Machine Learning,draft,Matt Oremland_Quest Diagnostics_Senior Director of Machine Learning_resume.docx,yes,"Healthcare Analytics Solutions, ground floor opportunity, requires healthcare data expertise"
2026-02-04,Sentara,Senior Data Governance Analyst,draft,Matt Oremland_Sentara_Senior Data Governance Analyst_resume.docx,yes,"Remote role, data governance focus, healthcare system"
2026-02-04,Surgery Partners,"Senior Director, Data Product Solutioning and Build",draft,Matt Oremland_Surgery Partners_Senior Director Data Product Solutioning and Build_resume.docx,yes,"Remote, healthcare services, data product development focus, reports to VP"
2026-02-04,Duetto,"Vice President, Data Science",draft,Matt Oremland_Duetto_Vice President Data Science_resume.docx,yes,"VP Data Science - hospitality revenue management SaaS, ML-powered forecasting/pricing, agentic workflows. Strong match on ML production systems, FDA-regulated environment experience translates to auditability/governance requirements."
2026-02-04,HCA Healthcare,"Director, Data Science",draft,Matt Oremland_HCA Healthcare_Director Data Science_resume.docx,yes,"Director Data Science - Digital Transformation & Innovation team. Strong match on technical leadership, production ML, responsible AI. Gap: no GCP (have AWS/Databricks/Snowflake), limited direct healthcare domain (but have HCP/HCO data from Gilead). Good fit overall - 8+ years matches, technical depth aligns."
2026-02-04,Lumen,Senior AI Leader,draft,Matt Oremland_Lumen_Senior AI Leader_resume.docx,yes,"Senior AI Leader - company-wide AI strategy and transformation. PhD required (have it). 15+ years experience (only 9 years, significant gap). Strong match on AI execution, governance, cross-functional leadership. Stretch role but worth applying given AI expertise and transformation experience."
2026-02-04,Pharma Client (FSP),"Associate Director, AI & Innovative Solutions",draft,Matt Oremland_Pharma Client FSP_Associate Director AI  Innovative Solutions_resume.docx,yes,"AD AI & Innovative Solutions - Global Medical Affairs. Strong match: pharma/medical affairs experience (Gilead), AI implementation (Redica LLM, RAG), regulatory compliance (FDA), cross-functional leadership. Gap: program management vs. hands-on technical work, but consulting shows project mgmt skills. FSP role, remote."
2026-02-04,LinkedIn Contact,Senior Machine Learning Engineer,draft,Matt Oremland_LinkedIn Contact_Senior Machine Learning Engineer_resume.docx,yes,"LinkedIn direct message - hands-on backend/ML role, agentic solutions focus"
